titulo,texto,data,fonte,url,origem,aspecto,sentimento,analises_detalhadas,relevancia,candidatos,regiao,tema,candidatos_mencionados
Cláudio Castro rejeita medidas sobre reforma em Norte,"Em pronunciamento hoje, Cláudio Castro rejeita um conjunto de medidas relacionadas a reforma. Durante evento em Norte, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. ",2025-06-05,G1,https://exemplo.com/g1/reforma/8,G1 - Política,outros,neutro,"[{'texto': 'Cláudio Castro rejeita medidas sobre reforma em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro rejeita um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Norte,reforma,"['Cláudio Castro', 'Arthur Lira']"
Lula aprova medidas sobre economia em Centro-Oeste,"Em pronunciamento hoje, Lula aprova um conjunto de medidas relacionadas a economia. Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. A proposta inclui redução de impostos e incentivos para pequenas empresas. ",2025-05-10,G1,https://exemplo.com/g1/economia/9,G1 - Política,economia,neutro,"[{'texto': 'Lula aprova medidas sobre economia em Centro-Oeste', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Lula aprova um conjunto de medidas relacionadas a economia.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'A proposta inclui redução de impostos e incentivos para pequenas empresas.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}]",5,,Centro-Oeste,economia,"['Lula', 'Tarcísio de Freitas']"
Arthur Lira veta medidas sobre saúde em Brasília,"Em pronunciamento hoje, Arthur Lira veta um conjunto de medidas relacionadas a saúde. Durante evento em Brasília, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. As medidas visam melhorar o atendimento no SUS e reduzir filas de espera. ",2025-06-05,G1,https://exemplo.com/g1/saúde/10,G1 - Política,outros,neutro,"[{'texto': 'Arthur Lira veta medidas sobre saúde em Brasília', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Arthur Lira veta um conjunto de medidas relacionadas a saúde.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Brasília, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As medidas visam melhorar o atendimento no SUS e reduzir filas de espera.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Brasília,saúde,"['Arthur Lira', 'Eduardo Leite']"
Cláudio Castro critica medidas sobre educação em Bahia,"Em pronunciamento hoje, Cláudio Castro critica um conjunto de medidas relacionadas a educação. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. O plano prevê investimentos em escolas públicas e valorização dos professores. ",2025-05-31,G1,https://exemplo.com/g1/educação/11,G1 - Política,outros,neutro,"[{'texto': 'Cláudio Castro critica medidas sobre educação em Bahia', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro critica um conjunto de medidas relacionadas a educação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O plano prevê investimentos em escolas públicas e valorização dos professores.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Bahia,educação,"['Cláudio Castro', 'Eduardo Leite']"
Lula questiona medidas sobre judiciário em Brasília,"Em pronunciamento hoje, Lula questiona um conjunto de medidas relacionadas a judiciário. Durante evento em Brasília, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. ",2025-05-13,G1,https://exemplo.com/g1/judiciário/12,G1 - Política,outros,neutro,"[{'texto': 'Lula questiona medidas sobre judiciário em Brasília', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula questiona um conjunto de medidas relacionadas a judiciário.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Brasília, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Brasília,judiciário,"['Lula', 'Eduardo Leite']"
Eduardo Leite defende medidas sobre eleições em São Paulo,"Em pronunciamento hoje, Eduardo Leite defende um conjunto de medidas relacionadas a eleições. Durante evento em São Paulo, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. ",2025-05-16,G1,https://exemplo.com/g1/eleições/13,G1 - Política,outros,neutro,"[{'texto': 'Eduardo Leite defende medidas sobre eleições em São Paulo', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Eduardo Leite defende um conjunto de medidas relacionadas a eleições.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em São Paulo, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,São Paulo,eleições,"['Eduardo Leite', 'Lula']"
Lula discute medidas sobre congresso em Amazonas,"Em pronunciamento hoje, Lula discute um conjunto de medidas relacionadas a congresso. Durante evento em Amazonas, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. ",2025-06-04,G1,https://exemplo.com/g1/congresso/14,G1 - Política,congresso,neutro,"[{'texto': 'Lula discute medidas sobre congresso em Amazonas', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Lula discute um conjunto de medidas relacionadas a congresso.', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Amazonas, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Amazonas,congresso,"['Lula', 'Arthur Lira']"
Rodrigo Pacheco discute medidas sobre economia em Centro-Oeste,"Em pronunciamento hoje, Rodrigo Pacheco discute um conjunto de medidas relacionadas a economia. Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. A proposta inclui redução de impostos e incentivos para pequenas empresas. ",2025-06-06,G1,https://exemplo.com/g1/economia/15,G1 - Política,economia,neutro,"[{'texto': 'Rodrigo Pacheco discute medidas sobre economia em Centro-Oeste', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco discute um conjunto de medidas relacionadas a economia.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'A proposta inclui redução de impostos e incentivos para pequenas empresas.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}]",5,,Centro-Oeste,economia,"['Rodrigo Pacheco', 'Lula']"
Cláudio Castro defende medidas sobre eleições em Sul,"Em pronunciamento hoje, Cláudio Castro defende um conjunto de medidas relacionadas a eleições. Durante evento em Sul, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. ",2025-05-12,BBC,https://exemplo.com/bbc/eleições/1,BBC Brasil,outros,neutro,"[{'texto': 'Cláudio Castro defende medidas sobre eleições em Sul', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro defende um conjunto de medidas relacionadas a eleições.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Sul, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Sul,eleições,"['Cláudio Castro', 'Tarcísio de Freitas']"
Rodrigo Pacheco rejeita medidas sobre corrupção em Sul,"Em pronunciamento hoje, Rodrigo Pacheco rejeita um conjunto de medidas relacionadas a corrupção. Durante evento em Sul, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. As propostas incluem maior transparência e mecanismos de controle. ",2025-06-04,BBC,https://exemplo.com/bbc/corrupção/2,BBC Brasil,outros,neutro,"[{'texto': 'Rodrigo Pacheco rejeita medidas sobre corrupção em Sul', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco rejeita um conjunto de medidas relacionadas a corrupção.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Sul, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As propostas incluem maior transparência e mecanismos de controle.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Sul,corrupção,"['Rodrigo Pacheco', 'Tarcísio de Freitas']"
Rodrigo Pacheco anuncia medidas sobre corrupção em Bahia,"Em pronunciamento hoje, Rodrigo Pacheco anuncia um conjunto de medidas relacionadas a corrupção. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. As propostas incluem maior transparência e mecanismos de controle. ",2025-05-23,BBC,https://exemplo.com/bbc/corrupção/3,BBC Brasil,outros,neutro,"[{'texto': 'Rodrigo Pacheco anuncia medidas sobre corrupção em Bahia', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco anuncia um conjunto de medidas relacionadas a corrupção.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As propostas incluem maior transparência e mecanismos de controle.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Bahia,corrupção,"['Rodrigo Pacheco', 'Eduardo Leite']"
Lula propõe medidas sobre saúde em Nordeste,"Em pronunciamento hoje, Lula propõe um conjunto de medidas relacionadas a saúde. Durante evento em Nordeste, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. As medidas visam melhorar o atendimento no SUS e reduzir filas de espera. ",2025-05-17,BBC,https://exemplo.com/bbc/saúde/4,BBC Brasil,outros,neutro,"[{'texto': 'Lula propõe medidas sobre saúde em Nordeste', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula propõe um conjunto de medidas relacionadas a saúde.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Nordeste, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As medidas visam melhorar o atendimento no SUS e reduzir filas de espera.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Nordeste,saúde,"['Lula', 'Tarcísio de Freitas']"
Eduardo Leite critica medidas sobre economia em São Paulo,"Em pronunciamento hoje, Eduardo Leite critica um conjunto de medidas relacionadas a economia. Durante evento em São Paulo, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. A proposta inclui redução de impostos e incentivos para pequenas empresas. ",2025-05-09,BBC,https://exemplo.com/bbc/economia/5,BBC Brasil,economia,neutro,"[{'texto': 'Eduardo Leite critica medidas sobre economia em São Paulo', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Eduardo Leite critica um conjunto de medidas relacionadas a economia.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em São Paulo, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'A proposta inclui redução de impostos e incentivos para pequenas empresas.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}]",5,,São Paulo,economia,"['Eduardo Leite', 'Arthur Lira']"
Cláudio Castro defende medidas sobre eleições em Centro-Oeste,"Em pronunciamento hoje, Cláudio Castro defende um conjunto de medidas relacionadas a eleições. Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. ",2025-06-02,BBC,https://exemplo.com/bbc/eleições/6,BBC Brasil,outros,neutro,"[{'texto': 'Cláudio Castro defende medidas sobre eleições em Centro-Oeste', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro defende um conjunto de medidas relacionadas a eleições.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Centro-Oeste,eleições,"['Cláudio Castro', 'Arthur Lira']"
Tarcísio de Freitas veta medidas sobre segurança em Norte,"Em pronunciamento hoje, Tarcísio de Freitas veta um conjunto de medidas relacionadas a segurança. Durante evento em Norte, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. O projeto pretende aumentar o efetivo policial e modernizar equipamentos. ",2025-06-05,BBC,https://exemplo.com/bbc/segurança/7,BBC Brasil,outros,neutro,"[{'texto': 'Tarcísio de Freitas veta medidas sobre segurança em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Tarcísio de Freitas veta um conjunto de medidas relacionadas a segurança.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O projeto pretende aumentar o efetivo policial e modernizar equipamentos.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Norte,segurança,"['Tarcísio de Freitas', 'Arthur Lira']"
